Line,Env,DTHD,DTMT,GY,Height
GID7628850,Bed5IR,71,111,6.694587105,103
GID7628853,Bed5IR,79,121,6.961174248,98
GID7628883,Bed5IR,65,106,5.529728518,95
GID7628902,Bed5IR,70,112,5.973321192,91
GID7628912,Bed5IR,66,106,5.477869395,95
GID7628927,Bed5IR,80,117,6.962940848,97
GID7628930,Bed5IR,80,119,5.950683498,99
GID7628953,Bed5IR,80,115,6.527309332,98
GID7628971,Bed5IR,83,121,6.969116325,109
GID7628975,Bed5IR,70,109,6.206258948,101
GID7628979,Bed5IR,84,122,6.763539915,117
GID7628988,Bed5IR,71,111,6.903939005,102
GID7628989,Bed5IR,78,114,6.522770728,103
GID7629049,Bed5IR,65,109,6.273370755,98
GID7629055,Bed5IR,76,112,6.155739085,101
GID7629059,Bed5IR,80,113,6.188476552,107
GID7629060,Bed5IR,69,108,5.915267512,102
GID7629062,Bed5IR,69,109,6.083047028,99
GID7629065,Bed5IR,68,106,5.455529315,100
GID7629066,Bed5IR,82,116,5.969805155,108
GID7629071,Bed5IR,84,124,6.352982322,107
GID7629076,Bed5IR,66,108,5.944954442,95
GID7629111,Bed5IR,67,109,6.361836318,100
GID7629225,Bed5IR,84,125,7.130815472,107
GID7629231,Bed5IR,86,126,7.284681565,108
GID7629253,Bed5IR,78,118,7.171290885,97
GID7629254,Bed5IR,82,120,6.618994942,100
GID7629270,Bed5IR,77,117,6.859764129,102
GID7629289,Bed5IR,80,121,7.004553015,104
GID7629291,Bed5IR,81,124,7.169058785,103
GID7629299,Bed5IR,68,108,5.930317689,105
GID7629318,Bed5IR,69,107,6.149733119,108
GID7629366,Bed5IR,70,113,6.596301925,96
GID7629380,Bed5IR,77,116,6.224136452,98
GID7629400,Bed5IR,71,112,7.002395319,107
GID7629403,Bed5IR,82,121,6.560662729,100
GID7629447,Bed5IR,65,107,6.271233762,103
GID7629449,Bed5IR,68,111,6.816461389,108
GID7629453,Bed5IR,70,112,6.714603225,106
GID7629454,Bed5IR,68,109,6.607239215,107
GID7629455,Bed5IR,70,113,6.945253559,103
GID7629459,Bed5IR,71,113,6.391395145,104
GID7629477,Bed5IR,71,112,6.414385775,108
GID7629489,Bed5IR,79,117,6.749572792,100
GID7629492,Bed5IR,77,117,6.556719352,105
GID7629496,Bed5IR,81,121,7.203648893,102
GID7629511,Bed5IR,76,114,6.879622376,104
GID7629518,Bed5IR,78,115,6.758865766,90
GID7629528,Bed5IR,75,113,6.380971236,92
GID7629541,Bed5IR,67,106,6.121750023,102
GID7629543,Bed5IR,68,106,6.097420133,102
GID7629546,Bed5IR,65,106,5.77168234,103
GID7629551,Bed5IR,65,109,5.238136036,105
GID7629552,Bed5IR,67,107,5.979639656,100
GID7629557,Bed5IR,66,106,6.00538321,106
GID7629558,Bed5IR,69,113,6.81072489,100
GID7629571,Bed5IR,80,123,5.875400586,107
GID7629576,Bed5IR,80,121,7.10982629,105
GID7629578,Bed5IR,78,115,6.182091126,104
GID7629581,Bed5IR,78,114,6.764148403,100
GID7629585,Bed5IR,85,126,7.318155623,95
GID7629587,Bed5IR,82,122,6.94353484,102
GID7629588,Bed5IR,76,115,6.616383383,92
GID7629600,Bed5IR,83,121,7.248588506,102
GID7629625,Bed5IR,80,119,6.723077763,96
GID7629675,Bed5IR,83,126,6.505643156,97
GID7629692,Bed5IR,71,113,6.680788603,102
GID7629693,Bed5IR,73,114,6.960321926,95
GID7629715,Bed5IR,80,121,6.835101116,97
GID7629716,Bed5IR,78,122,6.523351149,100
GID7629729,Bed5IR,76,117,6.426478009,99
GID7629731,Bed5IR,69,113,5.771207853,97
GID7629733,Bed5IR,78,118,6.298653083,106
GID7629741,Bed5IR,68,110,5.820686069,99
GID7629752,Bed5IR,77,116,6.396939886,106
GID7629755,Bed5IR,76,115,6.650283236,102
GID7629758,Bed5IR,77,115,6.538529429,108
GID7629766,Bed5IR,76,113,6.036455736,102
GID7629768,Bed5IR,86,126,5.938317739,109
GID7629772,Bed5IR,74,116,6.259293719,107
GID7629777,Bed5IR,76,118,6.364723243,104
GID7629778,Bed5IR,73,114,6.593290283,105
GID7629780,Bed5IR,76,120,6.605625209,102
GID7629784,Bed5IR,81,122,7.061494432,97
GID7629785,Bed5IR,77,121,6.524897592,106
GID7629788,Bed5IR,79,122,6.183981519,103
GID7629792,Bed5IR,70,113,6.015681179,102
GID7629799,Bed5IR,75,115,6.455032862,103
GID7629801,Bed5IR,76,120,6.553989296,104
GID7629802,Bed5IR,78,120,6.571399676,110
GID7629897,Bed5IR,66,106,6.105486002,95
GID7629902,Bed5IR,86,127,6.910158052,113
GID7629904,Bed5IR,85,127,7.435966409,105
GID7629982,Bed5IR,80,121,7.443023135,109
GID7630004,Bed5IR,69,113,6.765208768,105
GID7630005,Bed5IR,69,114,6.550703958,106
GID7630020,Bed5IR,76,114,6.879864305,107
GID7630025,Bed5IR,80,120,6.699361818,108
GID7630037,Bed5IR,74,120,6.910964898,106
GID7630045,Bed5IR,81,125,6.763348685,97
GID7630047,Bed5IR,80,125,7.052033618,103
GID7630056,Bed5IR,82,126,6.780610258,106
GID7630057,Bed5IR,80,123,7.060515598,108
GID7630059,Bed5IR,78,120,6.802187225,106
GID7630060,Bed5IR,84,128,6.761488601,110
GID7630061,Bed5IR,82,128,6.851888651,111
GID7630063,Bed5IR,82,128,6.906054278,117
GID7630064,Bed5IR,81,125,7.054860945,113
GID7630065,Bed5IR,85,129,6.996231118,111
GID7630066,Bed5IR,77,117,7.016320018,105
GID7630069,Bed5IR,80,121,6.732620108,106
GID7630077,Bed5IR,82,128,7.071452888,107
GID7630082,Bed5IR,80,120,6.339696105,106
GID7630084,Bed5IR,80,122,7.308948328,112
GID7630179,Bed5IR,79,118,6.838942471,106
GID7630249,Bed5IR,82,126,6.819746411,107
GID7630251,Bed5IR,86,129,7.315347015,114
GID7630252,Bed5IR,82,124,7.383574871,107
GID7630307,Bed5IR,84,123,7.087896025,110
GID7630321,Bed5IR,74,116,6.013068133,110
GID7630339,Bed5IR,73,114,6.335457776,108
GID7630341,Bed5IR,70,111,5.92460257,98
GID7630343,Bed5IR,73,114,6.385680026,110
GID7630399,Bed5IR,74,113,6.12281305,107
GID7630418,Bed5IR,73,113,6.969150966,105
GID7630420,Bed5IR,71,112,6.041192593,96
GID7630425,Bed5IR,80,122,7.102184126,100
GID7630428,Bed5IR,76,113,6.28397067,108
