Line,Env,Daysto50Flower,DaystoMaturity,AvePlantHeight,Biomass,PlantStand
ICCV07307,1,34.66666667,104,39,304.6666667,11
ICCV07308,1,31.66666667,103,32.9,163.3333333,11.66666667
ICCV07309,1,33.33333333,102.3333333,35.1,249.3333333,11.33333333
ICCV07310,1,38,102.3333333,44.66666667,343,11.66666667
ICCV07311,1,32.66666667,101.3333333,39.76666667,175,10.66666667
ICCV07312,1,38.33333333,103.3333333,45.8,355,12.66666667
ICCV07313,1,33.33333333,101.3333333,42.66666667,166,10.66666667
ICCV08101,1,46,105.6666667,52.56666667,257.3333333,12
ICCV08102,1,47.33333333,107,46.8,265,11.33333333
ICCV08103,1,44,103.3333333,42.33333333,157.3333333,11.66666667
ICCV08104,1,36.33333333,102,31,257,10
ICCV08105,1,41,103,34.23333333,153,10.66666667
ICCV08106,1,43.33333333,99.33333333,32.13333333,267.3333333,11
ICCV08107,1,41.33333333,101.3333333,29.63333333,249.6666667,10.33333333
ICCV08109,1,46.33333333,103.6666667,43.56666667,344.6666667,12
ICCV08110,1,39,103.3333333,31.76666667,186,11
ICCV08111,1,39.33333333,101,31.46666667,274.3333333,12
ICCV08301,1,31.33333333,100.6666667,37.7,270.6666667,10.66666667
ICCV08302,1,34,104,37.13333333,218.3333333,11.33333333
ICCV08303,1,36.66666667,103.3333333,34.23333333,223,11.33333333
ICCV08304,1,32,102.3333333,43.13333333,174.6666667,11.33333333
ICCV08305,1,32,103,42.66666667,270.3333333,11
ICCV08306,1,36,101.3333333,39.13333333,176,10.66666667
ICCV08307,1,35,102.3333333,39.76666667,265.3333333,11.33333333
ICCV08308,1,31.33333333,101,45.76666667,176.6666667,11.66666667
ICCV08309,1,32,102.3333333,39.23333333,149.6666667,10.33333333
ICCV08310,1,33,102.3333333,46.23333333,260.6666667,11
ICCV08311,1,32.33333333,102.6666667,42.66666667,190.3333333,11
ICCV08312,1,36.33333333,103,37.66666667,268,10
ICCV08313,1,31.33333333,101.6666667,35.13333333,211,11
ICCV08314,1,32.66666667,101.3333333,43.1,142,10.33333333
ICCV09101,1,46,103.3333333,34,135,11.33333333
ICCV09102,1,43,104,31.13333333,241.6666667,11
ICCV09103,1,43.33333333,105,33.76666667,272,11.66666667
ICCV09104,1,41,103.3333333,33.36666667,247.3333333,11.33333333
ICCV09105,1,44.66666667,102.6666667,34.43333333,147.3333333,11.33333333
ICCV09106,1,43.66666667,102.6666667,38.46666667,262.3333333,11.33333333
ICCV09107,1,43.66666667,103,34.7,410,11.66666667
ICCV09108,1,41.33333333,102.3333333,31.8,177.3333333,11.33333333
ICCV09109,1,43.33333333,103.6666667,39.66666667,168.3333333,10.66666667
ICCV09110,1,45,104,31.23333333,232.6666667,12
ICCV09111,1,43,102.3333333,37.33333333,230.3333333,12.33333333
ICCV09112,1,42.66666667,103,33.43333333,235.3333333,12
ICCV09113,1,42.33333333,100.3333333,37.23333333,369,10.66666667
ICCV09114,1,44,102.3333333,34.66666667,166,11.66666667
ICCV09115,1,43,103.6666667,29.33333333,257.6666667,11
ICCV09116,1,43.66666667,103.3333333,32.13333333,246.6666667,11
ICCV09117,1,44.66666667,102.3333333,32.46666667,341.6666667,11.33333333
ICCV09118,1,39.66666667,102,34.56666667,265.6666667,11.66666667
ICCV09301,1,32.33333333,102.6666667,42.2,253.3333333,11
ICCV09302,1,35,101.6666667,33.9,154.3333333,11
ICCV09303,1,34,101.6666667,42,143.6666667,10.66666667
ICCV09304,1,33.66666667,104.3333333,35.86666667,260.3333333,10
ICCV09305,1,36,104.3333333,36.23333333,150.3333333,10
ICCV09306,1,34,103,37.76666667,379.6666667,11.33333333
ICCV09307,1,32,101.3333333,37.66666667,330.6666667,10.66666667
ICCV09308,1,34.33333333,101,46.03333333,358,11.33333333
ICCV09309,1,32.66666667,101.6666667,38.83333333,288.3333333,12.33333333
ICCV09310,1,33.66666667,102.3333333,46.56666667,322.3333333,12
ICCV09311,1,35,102,36.73333333,157,11.33333333
ICCV09312,1,31.33333333,101.6666667,40.1,260.6666667,11
ICCV09313,1,34,101.3333333,42.23333333,270.3333333,11
ICCV09314,1,33,102.3333333,43.43333333,166.3333333,10.66666667
ICCV09315,1,34,103,46.1,289,12
ICCV09316,1,34,102.3333333,37.66666667,155.6666667,10
ICCV09317,1,33,99.33333333,35.43333333,301,11
ICCV09318,1,33.33333333,99,43.6,180.6666667,10.33333333
ICCV10,1,49.33333333,105.3333333,35.86666667,228.6666667,11
ICCV10101,1,43.66666667,102.3333333,33,257.6666667,11.33333333
ICCV10102,1,42.33333333,102,32.86666667,208.6666667,11.33333333
ICCV10103,1,43.66666667,103.6666667,35.23333333,230,11
ICCV10104,1,42.66666667,102,41.76666667,230.3333333,11.66666667
ICCV10105,1,42.66666667,102,40.33333333,246.6666667,11.66666667
ICCV10106,1,44,105.3333333,34.16666667,193.3333333,11.33333333
ICCV10107,1,43,103,36.1,250,12
ICCV10108,1,44.66666667,103.6666667,32.43333333,243,11.66666667
ICCV10109,1,41.33333333,102,33.9,252,12
ICCV10110,1,44.33333333,103,34.1,236.6666667,11.66666667
ICCV10111,1,41,102.6666667,34.43333333,242.6666667,12
ICCV10112,1,44.33333333,102.3333333,34.56666667,290,11.66666667
ICCV10113,1,44.33333333,103.6666667,34.33333333,144.3333333,11
ICCV10114,1,45.66666667,102.3333333,43.63333333,281.3333333,11.33333333
ICCV10115,1,45.33333333,102,32,148,11
ICCV10116,1,45,104.3333333,33.96666667,246.6666667,12
ICCV10117,1,46.33333333,102.3333333,35.83333333,438,12.33333333
ICCV10118,1,46,106,38.23333333,342.6666667,11
ICCV10301,1,34,105,45.1,349.3333333,10.33333333
ICCV10302,1,33.33333333,101.6666667,42.2,213.3333333,11
ICCV10303,1,34.66666667,102.6666667,34.53333333,181.6666667,10.66666667
ICCV10304,1,34,102.3333333,35.33333333,316,11.66666667
ICCV10305,1,35.66666667,101.3333333,45.56666667,222.6666667,10
ICCV10306,1,33.33333333,104,43.9,239,11.33333333
ICCV10307,1,33.33333333,104,33.63333333,120.3333333,10
ICCV10308,1,34.33333333,101.3333333,37.13333333,128.6666667,9.666666667
ICCV10309,1,32.66666667,102.6666667,38.7,155,10.66666667
ICCV10310,1,35,103,49.53333333,253,10
ICCV10311,1,32.66666667,102,37.2,257,11
ICCV10312,1,33.33333333,100,46.23333333,134,10.33333333
ICCV10313,1,35.33333333,102.3333333,34.33333333,272,10
ICCV10314,1,34.33333333,103.3333333,43.86666667,281,9.333333333
ICCV10315,1,33.33333333,102.3333333,39.7,156.3333333,10
ICCV10316,1,35,103.6666667,35.03333333,243.6666667,9.666666667
ICCV10317,1,36.66666667,104.6666667,42.66666667,137.3333333,10
ICCV10318,1,34,102.3333333,33.9,333.3333333,11.66666667
ICCV2,1,30,102.3333333,35.2,143.6666667,10.33333333
ICCV88202,1,35.66666667,102.6666667,34.7,162,11.33333333
ICCV89509,1,55.66666667,108.6666667,46.43333333,250.3333333,10.33333333
ICCV91302,1,58,110,39.2,139.3333333,12
ICCV92311,1,34,103,36.33333333,231.6666667,11
ICCV92337,1,33,102,38.76666667,252.6666667,11.33333333
ICCV92944,1,36,103.6666667,36.23333333,238.6666667,11.66666667
ICCV93122,1,48,105,35.66666667,208,11.33333333
ICCV95138,1,47.66666667,103.6666667,38.1,262,11.33333333
ICCV95332,1,34,102,32.13333333,172.3333333,10.66666667
ICCV95334,1,32.66666667,103.3333333,34.03333333,152,10
ICCV95423,1,48,105,39.66666667,345,12
ICCV96321,1,33.66666667,103.3333333,44.43333333,170,12
